epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,time_s
1,11.033328322706552,44.67672413793103,0.798864013573219,68.1896551724138,0.6596764865621069,0.001,119.27145791053772
2,0.6674385596965922,75.45258620689656,0.45201653488751115,87.58620689655173,0.8711452752117619,0.001,113.48693442344666
3,0.5416656455089306,85.36637931034483,0.43726289971121424,92.84482758620689,0.9267862236189264,0.001,112.28856492042542
4,0.44464695083683936,90.79741379310344,0.407550979893783,97.32758620689656,0.9725431061154538,0.001,113.70556640625
5,0.3926238082606217,93.23275862068965,0.4688763865109148,94.82758620689656,0.9466565293608146,0.001,109.1295416355133
6,0.36451014670832405,94.33189655172414,0.4107058126350929,97.06896551724138,0.9700834528238915,0.001,113.71876049041748
7,0.347472402042356,95.30172413793103,0.42586031987749295,97.15517241379311,0.9713249846055644,0.001,115.103262424469
8,0.3365991924343438,95.71120689655173,0.35159028008066373,98.36206896551724,0.9832595302399476,0.001,113.87875270843506
9,0.3037653560268468,96.875,0.4037637700294626,98.53448275862068,0.9849720735713199,0.001,82.64497947692871
10,0.3070779654486426,96.48706896551724,0.3848482214171311,98.96551724137932,0.9895076780433889,0.001,74.76294541358948
11,0.30867384877698173,96.74568965517241,0.36440825565107937,98.79310344827586,0.9876297972853535,0.001,75.77484130859375
12,0.30056888471389637,96.89655172413794,0.38641269433087316,98.53448275862068,0.9849126126247152,0.001,83.63142156600952
13,0.2946955807250122,97.17672413793103,0.4638667823939488,99.05172413793103,0.9904002554376725,0.001,82.02223038673401
14,0.29988893835709013,96.9396551724138,0.39058570327429937,98.79310344827586,0.9877245239385035,0.001,108.92326831817627
15,0.2819484644922717,97.69396551724138,0.4127598071920461,98.53448275862068,0.9850997742752512,0.001,112.19690179824829
16,0.2926727256898222,97.28448275862068,0.4328183576978486,98.10344827586206,0.9807807175744225,0.001,113.65881443023682
17,0.27846031558924705,97.5646551724138,0.4405321285642427,95.77586206896552,0.9563560465755298,0.0005,114.62766337394714
18,0.2738017414150567,97.73706896551724,0.3893423333250243,99.3103448275862,0.9929569830469381,0.0005,114.56707239151001
19,0.25888606546253995,98.51293103448276,0.373814581180441,99.22413793103448,0.9921236543664729,0.0005,115.42569971084595
20,0.2580006686777904,98.40517241379311,0.38611371537734723,99.56896551724138,0.9957730722194,0.0005,112.87203240394592
21,0.25167827082091365,98.44827586206897,0.36812443733215333,99.56896551724138,0.9956430291767143,0.0005,121.20910120010376
22,0.25496338205090885,98.51293103448276,0.40409664840533815,99.48275862068965,0.9947463605846198,0.0005,114.71872520446777
23,0.25398962148304643,98.29741379310344,0.3839316024862487,99.48275862068965,0.9947491083234258,0.0005,95.6483154296875
24,0.25418979289202853,98.44827586206897,0.3907006210294263,99.13793103448276,0.991231969528745,0.00025,73.38589763641357
25,0.2453272596515458,98.70689655172414,0.3940805833915184,99.48275862068965,0.9948151881791532,0.00025,72.84630680084229
26,0.24107395112514496,98.90086206896552,0.37544275624998685,99.39655172413794,0.9938532458694279,0.00025,105.47816729545593
27,0.24362391685617382,98.72844827586206,0.38942993057185205,99.39655172413794,0.9938491322020526,0.00025,79.5425660610199
28,0.2363278034432181,99.13793103448276,0.40871925662303793,99.48275862068965,0.9947491083234258,0.000125,86.38784217834473
